Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
11/7/16,1414.00,1096.00,0.75,0.00,1359.00,81.00,0.00,0.00,185.00
12/7/16,1446.00,1746.00,1.20,0.00,1338.00,102.00,0.00,0.00,236.00
13/7/16,1450.00,2183.00,1.50,0.00,1336.00,104.00,0.00,0.00,242.00
14/7/16,1415.00,724.00,0.50,0.00,1357.00,83.00,0.00,0.00,188.00
15/7/16,1459.00,1775.00,1.22,0.00,1326.00,114.00,0.00,0.00,260.00
16/7/16,1392.00,588.00,0.40,0.00,1374.00,66.00,0.00,0.00,150.00
17/7/16,1406.00,683.00,0.47,0.00,1364.00,76.00,0.00,0.00,173.00
18/7/16,1443.00,2673.00,1.83,0.00,1341.00,99.00,0.00,0.00,230.00
19/7/16,1381.00,432.00,0.30,0.00,1386.00,54.00,0.00,0.00,128.00
20/7/16,1398.00,552.00,0.38,0.00,1371.00,69.00,0.00,0.00,158.00
21/7/16,1469.00,1774.00,1.22,0.00,1320.00,120.00,0.00,0.00,276.00
22/7/16,1449.00,1535.00,1.05,0.00,1332.00,108.00,0.00,0.00,245.00
23/7/16,1515.00,2880.00,1.97,1.00,1288.00,152.00,0.00,0.00,351.00
24/7/16,1399.00,887.00,0.61,0.00,1370.00,70.00,0.00,0.00,160.00
25/7/16,1434.00,1442.00,0.99,0.00,1345.00,95.00,0.00,0.00,218.00
26/7/16,1422.00,942.00,0.65,0.00,1353.00,87.00,0.00,0.00,199.00
27/7/16,1435.00,1214.00,0.83,0.00,1344.00,96.00,0.00,0.00,219.00
28/7/16,1446.00,778.00,0.53,0.00,1333.00,107.00,0.00,0.00,241.00
29/7/16,1456.00,1130.00,0.77,0.00,1324.00,116.00,0.00,0.00,259.00
30/7/16,1377.00,401.00,0.27,0.00,1385.00,55.00,0.00,0.00,125.00
31/7/16,1346.00,115.00,0.08,0.00,1409.00,31.00,0.00,0.00,71.00
1/8/16,1418.00,962.00,0.66,0.00,1356.00,84.00,0.00,0.00,192.00
2/8/16,1419.00,665.00,0.46,0.00,1353.00,87.00,0.00,0.00,196.00
3/8/16,1398.00,915.00,0.63,0.00,1369.00,71.00,0.00,0.00,160.00
4/8/16,1390.00,937.00,0.64,1.00,1376.00,64.00,0.00,0.00,146.00
5/8/16,1421.00,481.00,0.33,1.00,1352.00,88.00,0.00,0.00,198.00
6/8/16,1407.00,698.00,0.48,0.00,1363.00,77.00,0.00,0.00,174.00
7/8/16,1397.00,887.00,0.61,0.00,1370.00,70.00,0.00,0.00,158.00
8/8/16,1442.00,1527.00,1.05,0.00,1337.00,103.00,0.00,0.00,233.00
9/8/16,1414.00,910.00,0.62,0.00,1357.00,83.00,0.00,0.00,187.00
